ID;NOME;TIPO;CD_MUN;NM_MUN;CD_DIST;NM_DIST;CD_BAIRRO;NM_BAIRRO;LOGRADOURO;num;compl;BAIRRO;UF;Região;CEP;TELEFONE;EMAIL;location_t;fonte_geo;tipo_geo;Latitude;Longitude
"1428";Biblioteca Pública Municipal de Abaíra;Municipal;"2900108";Abaíra;"290010805";Abaíra;;;Rua Francisco Cardoso;s/n;;Centro;BA;Nordeste;46690-000;(77)99142-3015;seceduabaira@yahoo.com.br;APPROXIMATE;Google 2025;"2";-13.250075000000001;-41.664867999999998
"1429";Biblioteca Pública Municipal Professora Maria das Mercês Alexandre;Municipal;"2900207";Abaré;"290020705";Abaré;;;Rua José Amancio Filho;s/n;;Centro;BA;Nordeste;;(75)3287-2470/(75)32872222/(75)999796833;bibliotecaabare@hotmail.com/cheino@hotmail.com;GEOMETRIC_CENTER;Google 2025;"1";-8.722557000000000;-39.115017999999999
"1430";Biblioteca Pública Municipal Machado de Assis;Municipal;"2900306";Acajutiba;"290030605";Acajutiba;;;Praça Antônio da Costa Brito;s/n;;Centro;BA;Nordeste;;(75)99857-5578;seduc.acajutiba@outlook.com;GEOMETRIC_CENTER;Google 2025;"1";-11.657425000000000;-38.018256999999998
"1431";Biblioteca Pública Municipal Dejanira Virgens;Municipal;"2900355";Adustina;"290035505";Adustina;;;Rua Maria José Rabelo de Jesus;"167";;Centro;BA;Nordeste;;(75)3496-2148/(75)3496-2140;bibliotecamunicipal@gmail.com;APPROXIMATE;Google 2025;"2";-10.544119000000000;-38.111617000000003
"1433";Biblioteca Pública Municipal de Aiquara;Municipal;"2900603";Aiquara;"290060305";Aiquara;;;Travessa Lídio Barros;s/n;;São Francisco;BA;Nordeste;;(73)99924-8265;semec.aiquara10@gmail.com;GEOMETRIC_CENTER;Google 2025;"1";-14.126185000000000;-39.889429000000000
"1434";Biblioteca Pública Municipal Maria Feijó;Municipal;"2900702";Alagoinhas;"290070205";Alagoinhas;;;Avenida Elvira Costa Dórea;s/n;;Centro;BA;Nordeste;48000-019;(75)3423-8374;mt702000@yahoo.com.br;GEOMETRIC_CENTER;Google 2025;"1";-12.139777000000000;-38.417507999999998
"1435";Biblioteca Pública Municipal de Almadina;Municipal;"2900900";Almadina;"290090005";Almadina;;;Rua Fernando Barros;s/n;;Centro;BA;Nordeste;45640-000;(73)98210-8814;semedec2020@gmail.comhamurabeflores@gmail.com;GEOMETRIC_CENTER;Google 2025;"1";-14.705233000000000;-39.635334999999998
"1436";Biblioteca Pública Municipal Doutor Carlos Cohim;Municipal;"2901007";Amargosa;"290100705";Amargosa;;;Avenida Dr. Aloisio Borges;s/n;;Centro;BA;Nordeste;45300-000;(75)3634-3977;bibliotecacarloscohim@hotmail.com;APPROXIMATE;Google 2025;"2";-13.029731999999999;-39.602069999999998
"1437";Biblioteca Pública Municipal Clóvis Amorim;Municipal;"2901106";Amélia Rodrigues;"290110605";Amélia Rodrigues;;;Avenida Presidente Kennedy;s/n;;Centro;BA;Nordeste;;(71)98864-6674;bibliotecaclovisamorim@gmail.com;GEOMETRIC_CENTER;Google 2025;"1";-12.391871000000000;-38.756649000000003
"1438";Biblioteca Pública Municipal Joviniano de Castro Dourado;Municipal;"2901155";América Dourada;"290115505";América Dourada;;;Rua Cantinho do Céu  Belo Campo América Dourada;s/n;;Centro;BA;Nordeste;44910-000;(74)3692-2249/(74)99985-8123/(74)98844-8960;piriri_ad@hotmail.com/seccultura17@pmadhotmail.com;APPROXIMATE;Google 2025;"2";-11.443370000000000;-41.439388999999998
"1524";Biblioteca Pública Municipal Neuracy Dourado Pereira;Municipal;"2914604";Irecê;"291460405";Irecê;;;Praça da Educação;s/n;Distrito Soares;Centro;BA;Nordeste;;(74)99975-6225/(74)99985-8123/(74)98844-8960;secejlad@gmail.com/secultamerica@gmail.com/seccultura17pmad@hotmail.com;APPROXIMATE;Google 2025;"2";-11.302218000000000;-41.847656000000001
"1439";Biblioteca Pública Municipal Professora Diva Vieira Gomes;Municipal;"2901205";Anagé;"290120505";Anagé;;;Rua Rogaciano Piau;s/n;;Centro;BA;Nordeste;;(77)99979-5215/(77)99945-5353/(77)98866-0296/(77)99979-5215/(77)98862-9654/(77)99956-5369;bibliotecaanage@hotmail.com/diocilio@hotmail.com/bibliotecaanage@hotmail.com;GEOMETRIC_CENTER;Google 2025;"1";-14.614075000000000;-41.140936000000004
"1440";Biblioteca Pública Municipal Herberto Sales;Municipal;"2901304";Andaraí;"290130405";Andaraí;;;Rua da Glória;"48";;Centro;BA;Nordeste;46830-000;(75)3335-2529/(75)33352119/(75)8119-4264/(75)98119-4264;bpmhsales@gmail.com;RANGE_INTERPOLATED;Google 2025;"1";-12.809316000000001;-41.331502999999998
"1441";Biblioteca Pública Municipal Andorinhense;Municipal;"2901353";Andorinha;"290135305";Andorinha;;;Rua José Gorgozinho de Carvalho Filho;"123";;Centro;BA;Nordeste;48990-000;(74)99192-3804;bpandorinhense@gmail.com/secultp@gmail.com;APPROXIMATE;Google 2025;"2";-10.348640000000000;-39.839509000000000
"1442";Biblioteca Pública Municipal Professor Gessé Souza Brito;Municipal;"2901502";Anguera;"290150205";Anguera;;;Rua Capitão José Marques;"23";;Centro;BA;Nordeste;;(75)98316-7587;bpm.anguera@gmail.com;ROOFTOP;Google 2025;"1";-12.151813000000001;-39.245812000000001
